Variable,Cumulative_Period,Lag,Correlation,Abs_Correlation
평균일사량,20,0,0.4573527426224581,0.4573527426224581
평균강수량,17,3,0.4565715840660636,0.4565715840660636
평균일사량,27,9,0.45552363647816463,0.45552363647816463
평균일사량,19,1,0.45529967813395605,0.45529967813395605
최저기온,7,0,0.4549480097315037,0.4549480097315037
최저기온,9,1,0.454363369607208,0.454363369607208
최저기온,12,1,0.4542930101697672,0.4542930101697672
평균강수량,16,6,0.45409035998718206,0.45409035998718206
평균일사량,24,2,0.45383841579715306,0.45383841579715306
평균강수량,8,2,0.45352793626176735,0.45352793626176735
평균강수량,18,5,0.45299331908984897,0.45299331908984897
평균강수량,17,6,0.4529598274206334,0.4529598274206334
최저기온,11,0,0.45229736477743115,0.45229736477743115
평균일사량,25,7,0.4516168268589341,0.4516168268589341
평균일사량,23,5,0.45118028724820347,0.45118028724820347
최저기온,12,2,0.4498933614191651,0.4498933614191651
평균강수량,10,3,0.44977757231605975,0.44977757231605975
평균일사량,18,0,0.4496992602381767,0.4496992602381767
평균강수량,18,6,0.4493810531072586,0.4493810531072586
평균일사량,24,6,0.44844982765502583,0.44844982765502583
평균강수량,12,4,0.44832672383326916,0.44832672383326916
평균강수량,13,0,0.4479441119436003,0.4479441119436003
최저기온,11,2,0.446570405359117,0.446570405359117
평균강수량,18,4,0.4464247810188683,0.4464247810188683
최저기온,13,2,0.4464094422886796,0.4464094422886796
평균일사량,29,6,0.4463181092827417,0.4463181092827417
평균강수량,15,1,0.4429219730359068,0.4429219730359068
평균강수량,15,6,0.4428786100911855,0.4428786100911855
평균일사량,21,0,0.44262549671579227,0.44262549671579227
평균일사량,27,4,0.4421433537070667,0.4421433537070667
최저기온,13,1,0.44207870109536784,0.44207870109536784
최저기온,8,1,0.44163389356989363,0.44163389356989363
최저기온,22,9,0.44077727208491563,0.44077727208491563
평균일사량,26,3,0.4404604778482936,0.4404604778482936
평균일사량,28,10,0.44016907772779373,0.44016907772779373
평균강수량,19,6,0.43914316781242385,0.43914316781242385
최저기온,21,9,0.43880264100639843,0.43880264100639843
평균일사량,23,1,0.43865576950889185,0.43865576950889185
최저기온,23,9,0.43862637629331014,0.43862637629331014
평균일사량,28,5,0.4383060783987397,0.4383060783987397
최저기온,6,0,0.43761701478940884,0.43761701478940884
최저기온,14,2,0.4370117108580747,0.4370117108580747
최저기온,12,0,0.43699178123420107,0.43699178123420107
최저기온,20,8,0.43689240301146376,0.43689240301146376
최저기온,10,2,0.436839141516163,0.436839141516163
평균강수량,17,2,0.43667171273760064,0.43667171273760064
최저기온,21,8,0.43629989900619714,0.43629989900619714
평균강수량,19,5,0.4361755170854515,0.4361755170854515
평균일사량,18,1,0.4358466443444477,0.4358466443444477
평균강수량,18,7,0.4356719906332069,0.4356719906332069
평균강수량,18,3,0.4353744103310672,0.4353744103310672
평균일사량,20,3,0.43520806594247585,0.43520806594247585
평균일사량,19,2,0.43505761117318675,0.43505761117318675
평균강수량,19,7,0.4341752869768966,0.4341752869768966
평균강수량,6,1,0.43386826571863535,0.43386826571863535
평균일사량,17,0,0.4337707033940332,0.4337707033940332
최저기온,23,10,0.4327641945174042,0.4327641945174042
최저기온,19,8,0.4325130639270322,0.4325130639270322
최저기온,24,10,0.4324086105166379,0.4324086105166379
최저기온,20,9,0.43205813689447237,0.43205813689447237
최저기온,22,8,0.43183031038290254,0.43183031038290254
최저기온,24,9,0.43147661771288737,0.43147661771288737
평균일사량,21,4,0.43051054304600583,0.43051054304600583
평균강수량,13,5,0.4292403857348929,0.4292403857348929
최저기온,22,10,0.42876569770966977,0.42876569770966977
평균강수량,17,7,0.42808593293454306,0.42808593293454306
