지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),적산온도_7d,적산온도_14d,적산온도_30d,적산온도_60d,적산온도_90d,적산온도_120d,누적강수량_7d,누적강수량_14d,누적강수량_30d,누적강수량_60d,누적강수량_90d,누적강수량_120d,누적일조시간_7d,누적일조시간_14d,누적일조시간_30d,누적일조시간_60d,누적일조시간_90d,누적일조시간_120d,누적일사량_7d,누적일사량_14d,누적일사량_30d,누적일사량_60d,누적일사량_90d,누적일사량_120d
해남,2017-03-12,7.9,0.0,42.0,8.8,0.0,27.3,51.9,88.5,96.1,148.7,148.7,0.6999999999999982,2.2,17.700000000000003,30.3,34.7,34.7,61.1,119.1,236.1,408.6,468.1,468.1,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-13,6.9,0.0,58.3,6.4,0.0,31.700000000000003,57.400000000000006,96.7,102.0,155.6,155.6,0.6999999999999982,2.2,17.0,30.3,34.7,34.7,57.0,115.1,237.4,413.3,474.5,474.5,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-14,4.6,0.0,53.9,11.1,0.0,37.3,59.4,101.5,106.1,160.2,160.2,0.0999999999999982,2.2,17.0,30.0,34.7,34.7,64.0,115.6,240.4,420.6,485.6,485.6,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-15,3.7,0.0,56.6,10.9,0.0,38.4,57.2,104.0,111.7,163.9,163.9,0.0,1.4,17.0,30.0,34.7,34.7,68.7,119.9,241.6,425.6,496.5,496.5,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-16,3.8,0.0,59.3,8.9,0.0,36.900000000000006,59.0,105.0,119.2,167.7,167.7,0.0,0.7,17.0,30.0,34.7,34.7,67.0,123.7,240.4,425.0,505.4,505.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-17,4.2,0.0,58.6,11.0,0.0,36.0,60.5,108.2,125.3,171.9,171.9,0.0,0.7,17.0,30.0,34.7,34.7,67.4,125.0,241.2,427.7,516.4,516.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-18,5.8,0.0,58.1,5.2,0.0,36.900000000000006,61.6,106.9,133.29999999999998,177.7,177.7,0.0,0.7,15.0,30.0,34.7,34.7,62.3,120.1,242.1,424.9,521.6,521.6,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-19,7.1,0.0,54.1,8.8,0.0,36.1,63.4,109.7,138.5,184.8,184.8,0.0,0.7,14.3,30.0,34.7,34.7,62.3,123.4,243.1,428.2,530.4,530.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-20,7.8,5.4,73.1,0.0,0.0,37.0,68.7,117.8,146.6,192.6,192.6,5.399999999999999,6.1000000000000005,19.7,35.4,40.1,40.1,55.900000000000006,112.9,233.5,420.8,530.4,530.4,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-21,6.3,0.7,60.3,10.0,0.0,38.7,76.0,119.5,153.3,198.9,198.9,6.099999999999999,6.200000000000001,20.4,35.1,40.8,40.8,54.8,118.8,237.1,428.1,540.4,540.4,0.0,0.0,0.0,0.0,0.0,0.0
